general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,2000,actual,hb94-greenbook,1,,017,200694,Bus Purchase One-Time Supplement,1659086.00
124,hb94,2000,actual,hb94-greenbook,1,,018,200649,Disability Access Project,0.00
124,hb94,2000,actual,hb94-greenbook,1,,018,200669,Judgment Loan,0.00
124,hb94,2000,actual,hb94-greenbook,1,,020,200620,Vocational School Building Assistance,0.00
124,hb94,2000,actual,hb94-greenbook,1,,138,200606,Information Technology,4034664.00
124,hb94,2000,actual,hb94-greenbook,1,,309,200601,Educationally Disadvantaged,13262734.00
124,hb94,2000,actual,hb94-greenbook,1,,366,200604,Adult Basic Education,14039231.00
124,hb94,2000,actual,hb94-greenbook,1,,367,200607,School Food Services,8947635.00
124,hb94,2000,actual,hb94-greenbook,1,,368,200614,Veterans' Training,519898.00
124,hb94,2000,actual,hb94-greenbook,1,,369,200616,Vocational Education,7333663.00
124,hb94,2000,actual,hb94-greenbook,1,,370,200624,Education of Exceptional Children,2818327.00
124,hb94,2000,actual,hb94-greenbook,1,,371,200631,EEO Title IV,765252.00
124,hb94,2000,actual,hb94-greenbook,1,,374,200647,ESEA Consolidated Grants,43264.00
124,hb94,2000,actual,hb94-greenbook,1,,376,200653,Job Training Partnership Act,3498129.00
124,hb94,2000,actual,hb94-greenbook,1,,378,200660,Math/Science Technology Investments,12219294.00
124,hb94,2000,actual,hb94-greenbook,1,,3C5,200661,Federal Dependent Care Programs,15284515.00
124,hb94,2000,actual,hb94-greenbook,1,,3D1,200664,Drug Free Schools,14167939.00
124,hb94,2000,actual,hb94-greenbook,1,,3D2,200667,Honors Scholarship Program,1814470.00
124,hb94,2000,actual,hb94-greenbook,1,,3E2,200668,AIDS Education Project,63790.00
124,hb94,2000,actual,hb94-greenbook,1,,3H9,200605,Head Start Collaboration Project,294069.00
124,hb94,2000,actual,hb94-greenbook,1,,3L6,200617,Federal School Lunch,158064573.00
124,hb94,2000,actual,hb94-greenbook,1,,3L7,200618,Federal School Breakfast,32191459.00
124,hb94,2000,actual,hb94-greenbook,1,,3L8,200619,Child and Adult Care Programs,48460017.00
