irn,district,county,foundation_funding_pre_reduction,net_open_enrollment,net_excess_cost,scholarship_deduction,community_stem_deduction,student_wellness_success,enrollment_growth_supplement,funding_base
049320,Continental Local SD,Putnam,3885048.05,-374088.56,0,0,-165635.85,86141.48,21311.48,3452776.6
049338,Jennings Local SD,Putnam,2308610.93,193826.74,0,0,-27548.78,43096.98,428.41,2518414.28
049346,Kalida Local SD,Putnam,2963390.07,113892.25,0,0,-40295.46,40836.12,0,3077822.98
049353,Leipsic Local SD,Putnam,4440055.32,-29242.13,0,-66440.8,-94929.99,375093.6,0,4624536
049361,Miller City-New Cleveland Lo,Putnam,3089607.73,476921.46,0,0,0,36681.03,1353.51,3604563.73
049379,Ottawa-Glandorf Local SD,Putnam,6408460.55,-12248.33,0,-99476.25,-331963.52,419992.36,11562.58,6396327.39
049387,Ottoville Local SD,Putnam,2427319.84,239840.08,0,0,-21641.02,39219.87,31218.21,2715956.98
049395,Pandora-Gilboa Local SD,Putnam,3261830.62,-176174.41,0,-97.53,-120679.85,45319.71,0,3010198.54
049411,Clear Fork Valley Local SD,Richland,8236751.21,605491.84,0,-140049.13,-443780.93,382230.41,5084.07,8645727.47
049429,Crestview Local SD,Richland,7620681.78,-121604.79,0,-32053.8,-324486.15,185463.13,0,7328000.17
049437,Lexington Local SD,Richland,10335659.52,-1123100.87,0,-375663.31,-587354.11,410490.45,9327.64,8669359.32
049445,Lucas Local SD,Richland,2783050.8,258264.66,0,-40795.54,-137349.79,107632.8,0,2970802.93
049452,Madison Local SD,Richland,19117235.58,-1009424.15,0,-599337.44,-1723226.69,1012341.6,0,16797588.9
049460,Plymouth-Shiloh Local SD,Richland,5287441.18,349292.17,0,-53670.11,-297605.58,347140.61,0,5632598.27
049478,Ontario Local SD,Richland,3347588.04,1883113.37,0,-70860.66,-728068.87,221482.98,61141.17,4714396.03
049494,Adena Local SD,Ross,8528494.82,-115053.26,0,-47084,-123395.03,447023.59,0,8689986.12
049502,Huntington Local SD,Ross,13275664.26,497701.27,0,0,-281544.39,494373.35,0,13986194.49
049510,Paint Valley Local SD,Ross,7528311.44,-88655.22,0,-12725,-154820.4,456636.79,23261.64,7752009.25
049528,Southeastern Local SD,Ross,9051046.94,595831.08,0,-43783,-315848.1,363228.75,0,9650475.67
049536,Union Scioto Local SD,Ross,10517572.86,1983803.76,0,-211639.95,-385193.62,676140.13,23018.53,12603701.71
049544,Zane Trace Local SD,Ross,6243337.86,34644.38,0,-146701.15,-368977.56,400464.58,0,6162768.11
049569,Lakota Local SD,Sandusky,5661228.3,194942.26,0,-46500,-303362.63,360663.68,36628.11,5903599.72
049577,Woodmore Local SD,Sandusky,4824966.32,-151070.32,0,-67477,-105029.22,117859.58,0,4619249.36
049593,Bloom-Vernon Local SD,Scioto,8583667.59,176181.99,0,-51300,-110939.69,248421.43,0,8846031.32
049601,Clay Local SD,Scioto,3894650.2,796188.56,0,-112819.14,-133489.68,115784.51,31049.53,4591363.98
049619,Green Local SD,Scioto,4838443.48,-554963.96,0,-10025,-118071.1,251067.05,0,4406450.47
049627,Minford Local SD,Scioto,11708324.38,-69185.13,0,-65490.29,-237627.8,493693.2,0,11829714.36
049635,Northwest Local SD,Scioto,15963361.86,-846088.31,0,-134244.41,-199779.4,481152.65,0,15264402.39
049643,Valley Local SD,Scioto,9113743.46,1533706.42,0,-54553.08,-93647.74,383541.15,32468.56,10915258.77
049650,Washington-Nile Local SD,Scioto,14602404.68,585028.4,0,-240098.37,-164626.42,682283.02,0,15464991.31
049668,Wheelersburg Local SD,Scioto,7363449.48,1451957.32,0,-42050.5,-372460.93,559422,0,8960317.37
049684,Seneca East Local SD,Seneca,4820440.18,452060.67,0,0,-119621.33,132676.13,0,5285555.65
049700,Hopewell-Loudon Local SD,Seneca,3232818.66,773634.94,0,-34402,-191783.62,112787.23,0,3893055.21
049718,New Riegel Local SD,Seneca,2339305.17,615737.64,0,0,-40795.2,58360.97,15607.42,2988216
049726,Old Fort Local SD,Seneca,3013426.06,1074947.52,0,-15035,-84498.07,102593.95,56079.51,4147513.97
049759,Anna Local SD,Shelby,5690417.33,793350.88,0,0,-79155.21,110237.97,0,6514850.97
049767,Botkins Local SD,Shelby,2720775.37,1281797.4,0,0,-51540.39,58762.83,0,4009795.21
049775,Fairlawn Local SD,Shelby,2540057.2,1347986.8,0,-162.88,-32744.21,132408.67,0,3987545.58
049783,Fort Loramie Local SD,Shelby,4489882.07,-85619.67,0,-33800,-18136.97,41851.07,0,4394176.5
049791,Hardin-Houston Local SD,Shelby,5324662.51,251709.83,0,-82931.31,-48176.72,57650.95,0,5502915.26
049809,Jackson Center Local SD,Shelby,3050346.8,226640.44,0,0,-95251.45,225758.04,17048.47,3424542.3
049817,Russia Local SD,Shelby,2337436.52,383427.54,0,0,-18885.9,40988.94,0,2742967.1
049833,Canton Local SD,Stark,8938399.99,-2791.4,0,-77185.5,-349782.18,460301.94,0,8968942.85
049841,Fairless Local SD,Stark,8569175.9,-223814.55,0,-66327.4,-250619.81,383134.4,0,8411548.54
