fiscal_year,irn,district,enrolled_adm,special_education_1,special_education_2,special_education_3,special_education_4,special_education_5,special_education_6,english_learner_1,english_learner_2,english_learner_3,gifted_k_8,gifted_9_12,career_technical_1,career_technical_2,career_technical_3,career_technical_4,career_technical_5,school_buildings
2026,050690,Lake Local,1492.390597,24.059932,95.797298,2.462291,0.247595,14.017407,22.242614,4,9.450679,3,88.313341,45.143286,0,0,12.07745,0,0,3
2026,050708,North Baltimore Local,589.393977,23.890594,81.954474,7.203845,0,4.430519,9.651547,0,1.495108,2.371824,34.836548,25.701378,0,0,0,0,0,3
2026,050716,Northwood Local Schools,823.839056,9.526703,76.759427,9.83353,0,4,19.355163,0,1,0,39.422979,27.26322,0,0,0,0,0,3
2026,050724,Otsego Local,1455.538445,40.110314,137.056336,7.200123,0,3.604856,21.342532,2,0.822039,2,124.904576,52.351859,0,0,0,0,0,3
2026,050740,Mohawk Local,742.234438,23.722312,53.223876,5.495965,0.087482,2,10.831175,0,0,0,117.726257,84.022521,9.463644,0,0,0,0,2
2026,061903,Adams County Ohio Valley Local,3212.55973,72.566314,366.635454,20.721226,3.323758,25.862275,47.887989,0,4.673096,2,140.759231,135.198311,119.794886,32.26583,0,10.703556,0,7
2026,064964,College Corner Local,115.432037,8.607239,15.06931,0.96496,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,065680,Gallia County Local,1876.815768,43.795073,220.642956,17.709675,2,2.099239,29.240277,3.680156,0.521081,0,139.707248,93.004676,23.219437,17.610327,0,2.173673,3.261341,9
2026,069682,East Guernsey Local,914.244373,24.201137,76.166351,4.708471,0.418836,9.256981,19.008519,0,0.6531,0,50.591576,42.925923,25.044277,0,0,0,0,3
2026,091397,Tri-County North Local,666.215507,9.818181,55.219292,4.666667,2.994286,6.156566,9.540405,0,0,0,72.52929,43.97114,0,0,0,0,2.652374,3
2026,139303,Monroe Local,2694.55282,13.747148,211.038638,16.585623,4.909796,7.94005,43.903621,42.002782,180.694066,57.342683,227.735489,141.655912,0,0,0,0,0,4
2027,000442,Manchester Local,645.499459,10.917423,105.171647,6,1,10.806392,7.07732,0,0,0,16.251693,18.061901,23.715089,6.198714,0,2.806678,0,2
2027,043489,Akron City,18892.448853,107.348034,2781.130525,254.605168,13.473988,173.016698,479.567883,415.174479,1800.224676,437.635892,1229.174739,759.229756,362.660347,248.691463,171.880376,201.645865,132.769185,42
2027,043497,Alliance City,2586.894448,39.065496,397.501598,11.351434,2,12.888235,62.008291,1.111765,5,2,158.26485,113.014075,67.678881,24.697561,0,9.760456,0,5
2027,043505,Ashland City,2724.44594,43.794109,223.264474,6.72293,4,13.86,33.828622,0,32.686103,8.86,270.73853,187.178436,0,0,3.877258,0,9.214866,5
2027,043513,Ashtabula Area City,2369.931311,30.9,407.514073,47.988688,1.245714,10.097142,50.393792,5.954286,150.218079,15.86,123.207094,103.016237,0,0,0,0,0,6
2027,043521,Athens City,2144.267927,19.366834,368.357065,29.063449,1,11,64.905354,23,18,21,307.511752,222.308791,13.765653,6.512621,0,2.550005,0,5
2027,043539,Barberton City,3050.87523,50.488375,348.737487,34.549318,3.153409,19.687006,86.284857,11.776955,24.637156,12.017442,187.920922,149.49494,37.696732,24.471318,12.67403,15.957223,11.967541,5
2027,043547,Bay Village City,2280.407919,24.893258,144.410111,6,1,10.775281,41.162922,0,13,5,440.919993,195.955332,5.405755,3.540069,0,0,33.56616,4
2027,043554,Beachwood City,1413.176046,13.180791,136.135565,18.414595,0,12.251351,45.898673,31.943607,31.460281,36.136729,309.650721,149.34,2.61056,3.256405,0,4.615181,0,4
2027,043562,Bedford City,2689.554446,41.031743,399.352386,40.2556,4,11.931416,94.46594,25.277754,114.116472,8,104.041066,84.683119,37.040145,43.010917,0,9.304021,9.247994,7
2027,043570,Bellaire Local,1106.615944,35.622764,160.181631,4.937198,3,4,40.915555,0,0,0,70.756507,36.575128,0,0,0,0,0,3
2027,043588,Bellefontaine City,2074.548774,37.259719,217.106511,18.830575,0,10,60.055819,20,31.136646,18,215.480252,87.839662,16.022614,0,0,0,8.259529,4
2027,043596,Bellevue City,1584.332198,43.336266,160.817445,9.33086,0,5,38.88519,5.870542,4,0,104.144867,83.425637,21.652533,0,0,0,29.968733,3
2027,043604,Belpre City,852.510347,18.648067,110.203482,0.04115,0,5,25.028866,0,1,0,57.831445,39.807508,0.087975,0,0,0,0,3
2027,043612,Berea City,4751.448905,92.024037,451.324822,43.543219,3,15.970682,144.358827,56.132087,132.828074,53.89523,480.054902,260.712911,0,0,18.377481,0,33.053437,5
2027,043620,Bexley City,2467.331608,19.924897,235.431035,25.164589,3,9.735632,70.902299,6.850575,23.189655,10,582.617473,353.431198,2.717591,4.791738,0,8.941121,12.291617,6
2027,043638,Bowling Green City School District,2385.078122,34.570833,224.593552,30.409695,3,11.86,63.840478,24.6083,22.983393,12,210.424833,80.635892,22.958031,2.414336,0,0,13.563002,5
2027,043646,Brecksville-Broadview Heights City,3352.272132,43.085227,210.059578,12.265537,0,17.477401,60.587657,18.22,92.556818,43.5,692.327437,423.299624,0,0,0,0,0,3
2027,043653,Brooklyn City,1075.550942,12.999997,117.636681,7.872152,1.871287,11.196731,27.934569,16.276918,107.341829,36.525976,44.779653,25.829746,0,0,0,0,0,2
2027,043661,Brunswick City,5458.989751,101.325211,480.290433,38.694285,3,27.885715,137.190505,27.328781,103.826533,70.01,645.993641,483.898056,0,0,0,0,0,8
