irn,house_district,population,population_under_18,share
046284,071,11,3,0.0011646
046284,074,12180,2573,0.9988354
046300,062,1246,248,0.06533193
046300,063,13466,3548,0.93466807
046318,063,9289,2130,1.0
046326,062,6170,1211,0.4636294
046326,063,6495,1401,0.5363706
046334,063,4956,1138,1.0
046342,055,685,144,0.03552924
046342,062,15662,3873,0.95558845
046342,063,102,36,0.00888231
046359,062,43956,8626,0.55973006
046359,063,28506,6785,0.44026994
046367,063,6335,1316,1.0
046383,055,228,49,0.0244511
046383,063,1656,360,0.17964072
046383,071,6915,1595,0.79590818
046391,055,3131,700,0.30276817
046391,071,7023,1612,0.69723183
046409,071,6642,1531,0.85150167
046409,091,1178,267,0.14849833
046425,079,15158,2362,1.0
046433,079,5791,1310,1.0
046441,079,5234,1108,0.98928571
046441,096,50,12,0.01071429
046458,059,1770,395,0.2688904
046458,079,5346,1074,0.7311096
046474,051,181,62,0.02942572
046474,097,177,16,0.00759374
046474,098,8563,2029,0.96298054
046482,069,881,215,0.06215669
046482,098,13858,3244,0.93784331
046508,054,12,3,0.00277008
046508,076,17,10,0.00923361
046508,087,3388,696,0.64265928
046508,088,1618,374,0.34533703
046516,087,5475,1044,1.0
046524,087,6196,1381,1.0
046557,019,3989,769,1.0
046565,019,7584,1611,1.0
046573,015,14624,3263,0.63980392
046573,017,8398,1671,0.32764706
046573,054,681,166,0.03254902
046581,018,4040,861,0.25918122
046581,019,10560,2431,0.73178808
046581,022,18,10,0.00301023
046581,099,136,20,0.00602047
046599,023,10088,1604,1.0
046607,019,24835,6092,1.0
046623,084,3350,898,1.0
046631,080,6050,1467,1.0
046649,080,3352,832,0.98695136
046649,084,16,11,0.01304864
046672,084,3898,943,1.0
046680,080,4130,1024,0.99707887
046680,084,7,3,0.00292113
046706,082,4006,878,1.0
046714,081,3089,735,0.49494949
046714,082,2932,750,0.50505051
046722,081,2470,534,0.41299304
046722,082,3811,759,0.58700696
046748,060,26,11,0.00180981
046748,061,23019,6067,0.99819019
046755,060,8605,1886,0.48358974
046755,061,7517,1636,0.41948718
046755,086,24,4,0.00102564
046755,087,1569,374,0.09589744
046763,008,65,14,0.00045998
046763,060,88486,25447,0.83608227
046763,061,14452,4975,0.16345775
046789,054,2053,519,0.26225366
046789,089,7196,1460,0.73774634
046797,089,256,16,1.0
046805,088,1511,332,0.22281879
046805,089,6069,1158,0.77718121
046813,089,13878,2684,1.0
046821,053,23,13,0.00512013
046821,054,4823,853,0.33595904
046821,089,9626,1673,0.65892083
046847,069,8606,2168,0.99953896
046847,073,2,1,0.00046104
046854,069,4906,1108,0.96013865
046854,073,120,35,0.03032929
046854,092,77,11,0.00953206
046862,069,7805,2088,0.67770204
046862,073,4470,993,0.32229796
046870,069,6723,1695,0.63962264
046870,073,3819,955,0.36037736
