edition	fund	ali	name	legal_basis
2006	3Y6	200635	Improving Teacher Quality	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on August 12, 2002)
2006	3Y7	200689	English Language Acquisition	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 2002)
2006	3Y8	200639	Rural and Low Income	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 2002)
2006	3Z2	200690	State Assessments	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 2002)
2006	3Z3	200645	Consolidated USDE Administration	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (Originally established by Controlling Board on July 7, 2003)
2006	454	200610	Guidance & Testing	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established in 1929)
2006	455	200608	Commodity Foods	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board in September 1978)
2006	4R7	200695	Indirect Operational Support	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board in December 1993)
2006	4V7	200633	Interagency Operational Support	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board in June 1995)
2006	598	200659	Auxiliary Services Reimbursement	ORC 3317.064 (originally established by Am. Sub. H.B. 238 of the 116th G.A.)
2006	5BB	200696	State Action for Education Leadership	ORC 3301.21 (originally established by Am. Sub. H.B. 16 of the 126th G.A.)
2006	5BJ	200626	Half-Mill Maintenance Equalization	ORC 3318 (F); Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A.
2006	5U2	200685	National Education Statistics	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on May 6, 2002)
2006	5W2	200663	Early Learning Initiative	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally establish by Section 41.19 of Am. Sub. H.B. 95 of the 125th G.A.)
2006	620	200615	Educational Improvement Grants	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	017	200612	Foundation Funding	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2006	017	200682	Lease Rental Payment Reimbursement	ORC 3318.01 through 3318.20; Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	020	200620	Vocational School Building Assistance	Discontinued line item (originally established in ORC 3317.22 and 3317.23)
2006	047	200909	School District Property Tax Replacement - Business	ORC 5721.21; Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A.
2006	053	200900	School District Property Tax Replacement - Utility	ORC 5727.84 and 5727.85; Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. S.B. 3 of the 123rd G.A.)
2008	GRF	200100	Personal Services	ORC 3301.13; Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200320	Maintenance and Equipment	ORC 3301.13; Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200406	Head Start	Discontinued line item (originally established by H.B. 111 of the 117th G.A.)
2008	GRF	200408	Early Childhood Education	Section 269.10.20 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200410	Educator Training	Section 269.10.30 of Am. Sub. H.B.119 of the 127th G.A.
2008	GRF	200411	Family and Children First	Discontinued line item; ORC 121.37 (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2008	GRF	200416	Career-Technical Education Match	Section 269.10.40 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 191 of the 112th G.A.)
2008	GRF	200420	Computer/Application/Network Development	Section 269.10.40 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200421	Alternative Education Programs	Section 269.10.50 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 640 of the 123rd G.A.)
2008	GRF	200422	School Management Assistance	ORC 3301.073 and 3316; Section 269.10.60 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. H.B. 1285 of the 112th G.A.)
2008	GRF	200424	Policy Analysis	Section 269.10.70 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 204 of the 113th G.A.)
2008	GRF	200425	Tech Prep Consortia Support	Section 269.10.70 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board in FY 2001 and modified by Am. Sub. H.B. 94 of the 124th G.A.)
2008	GRF	200426	Ohio Educational Computer Network	ORC 3301.07; Section 269.10.80 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200427	Academic Standards	ORC 3301.079; Section 269.10.90 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200431	School Improvement Initiatives	ORC 3302.03 and 3302.04; Section 269.20.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2008	GRF	200432	School Conflict Management	Discontinued line item (originally established by Sub. H.B. 715 of the 120th G.A.)
2008	GRF	200433	Literacy Improvement - Professional Development	Section 269.20.20 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 94 of the 124th G.A.)
2008	GRF	200437	Student Assessment	ORC 3301.0710, 3301.0711, and 3301.27; Section 269.20.20 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2008	GRF	200439	Accountability/Report Cards	ORC 3302.03; Section 269.20.30 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 95 of the 125th G.A.)
2008	GRF	200441	American Sign Language	Discontinued line item (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2008	GRF	200442	Child Care Licensing	ORC 3301.52 through 3301.59; Section 269.20.30 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on October 16, 1995)
2008	GRF	200444	Professional Recruitment	Discontinued line item
2008	GRF	200445	OhioReads Volunteer Support	Discontinued line item (originally established by Am. Sub. H.B. 1 and modified by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200446	Education Management Information System	ORC 3301.0714; Section 269.20.40 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200447	GED Testing	ORC 3313.531; Section 269.20.50 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on January 8, 1990)
2008	GRF	200448	Educator Preparation	Section 269.20.60 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200449	Head Start/Head Start Plus Start Up	Discontinued line item (originally established by Am. Sub. H.B. 95 of the 125th G.A.)
2008	GRF	200452	Teaching Success Commission Initiatives	Discontinued line item (originally established by Am. Sub. H.B. 95 of the 125th G.A.)
2008	GRF	200455	Community Schools	ORC 3314.11; Section 269.20.70 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 215 of the 122nd G.A.)
2008	GRF	200457	Stem Initiatives	ORC 3326.01 through 3326.50; Section 269.20.70 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200500	School Finance Equity	Discontinued line item (originally established in Sub. H.B. 671 of the 119th G.A.)
2008	GRF	200501	Base Cost Funding	Discontinued line item (originally established in ORC 3317.022)
2008	GRF	200502	Pupil Transportation	ORC 3317.022 and 3317.02; Section 269.20.80 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200503	Bus Purchase Allowance	ORC 3317.07; Section 269.20.90 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200505	School Lunch Match	ORC 3313.81 and 3317.024; Section 269.20.90 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200509	Adult Literacy Education	ORC 3317.024; Section 269.30.10 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200511	Auxiliary Services	ORC 3317.024 and 3317.06; Section 269.30.20 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200513	Student Intervention Services	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200514	Postsecondary Adult Career-Technical Education	ORC 3313.52 and 3313.53; Section 269.30.20 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200520	Disadvantaged Pupil Impact Aid	Discontinued line item (originally established in ORC 3317.029)
2008	GRF	200521	Gifted Pupil Program	ORC 3317.024; Section 269.30.30 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200525	Parity Aid	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200532	Nonpublic Administrative Cost Reimbursement	ORC 3317.063; Section 269.30.30 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 694 of the 114th G.A.)
2008	GRF	200536	Ohio Core Support	ORC 3313.603; Section 269.30.40 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Sub. H.B. 115 of the 126th G.A. and modified by Am. Sub. S.B. 311 of the 126th G.A.)
2008	GRF	200540	Special Education Enhancements	ORC 3317.20, 3317.052, and 3317.05; Section 269.30.50 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2008	GRF	200545	Career-Technical Education Enhancements	Section 269.30.60 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2008	GRF	200546	Charge-Off Supplement	Discontinued line item (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2008	GRF	200550	Foundation Funding	ORC 3317; Sections 260.30.70, 269.30.80, and 269.30.90 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 66 of the 126th G.A.)
2008	GRF	200552	County MR/DD Boards Vehicle Purchases	Discontinued line item (originally established in ORC 3317.07)
2008	GRF	200558	Emergency Loan Interest Subsidy	Discontinued line item (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2008	GRF	200566	Literacy Improvement - Classroom Grants	Section 269.40.10 of Am. Sub. H.B.119 of the 127th G.A. (originally established by Am. Sub. H.B. 1 and modified by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	GRF	200578	Violence Prevention and School Safety	Section 269.40.10 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200901	Property Tax Allocation - Education	ORC 319.301 and 323.151 through 323.157; Section 269.40.20 of Am. Sub. H.B. 119 of the 127th G.A.
2008	GRF	200906	Tangible Tax Exemption-Education	ORC 5709.01; Section 269.40.20 of Am. Sub. H.B. 119 of the 127th G.A.
2008	138	200606	Computer Services - Operational Support	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on July 20, 1961)
2008	452	200638	Miscellaneous Educational Services	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on April 13, 1972)
2008	4D1	200602	Ohio Prevention/Education Resource Center	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on September 21, 1992)
2008	4L2	200681	Teacher Certification and Licensure	Section 269.40.30 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2008	596	200656	Ohio Career Information System	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 238 of the 116th G.A.)
2008	5B1	200651	Child Nutrition Services	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2008	5H3	200687	School District Solvency Assistance	ORC 3316.20; Section 269.40.30 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2008	309	200601	Educationally Disadvantaged Programs	Section 269.10 of Am. Sub. H.B.119 of the 127th G.A. (originally established by Controlling Board on March 28, 1966)
2008	366	200604	Adult Basic Education	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A.
2008	367	200607	School Food Services	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on October 27, 1967)
2008	368	200614	Veterans' Training	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on August 18, 1965)
2008	369	200616	Career-Technical Education Federal Enhancement	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on September 23, 1964)
2008	370	200624	Education of Exceptional Children	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on May 9, 1968)
2008	371	200631	Immigrant Education Opportunities	Discontinued line item (originally established by Controlling Board on August 24, 1971)
2008	374	200647	Troops to Teachers	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board in FY 1976)
2008	378	200660	Learn and Serve	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on July 29, 1985)
2008	3AF	200603	Schools Medicaid Administrative Claims	Section 269.10 of Am. Sub. H.B. 119 of the 127th G.A. (originally established by Controlling Board on September 22, 2003)
