chamber,irn,district,population,population_under_18,share
house,045773,078,18876,4332,1.0
house,045781,078,3660,824,1.0
house,045799,078,17056,3821,1.0
house,045807,078,4652,1167,0.90675991
house,045807,082,512,120,0.09324009
house,045823,067,6350,1407,0.93117141
house,045823,077,373,104,0.06882859
house,045831,054,57,5,0.00300842
house,045831,067,6717,1657,0.99699158
house,045856,065,3616,687,0.32268671
house,045856,099,7014,1442,0.67731329
house,045864,065,10060,2983,1.0
house,045872,065,11163,2492,0.98187549
house,045872,099,339,46,0.01812451
house,045880,065,8700,1998,1.0
house,045906,092,35,11,0.00497288
house,045906,094,10115,2156,0.97468354
house,045906,095,229,45,0.02034358
house,045914,094,5133,1054,0.64941466
house,045914,095,2709,569,0.35058534
house,045922,094,4134,947,0.96731359
house,045922,095,73,32,0.03268641
house,045948,084,3994,1140,0.90118577
house,045948,085,617,125,0.09881423
house,045955,084,4015,994,0.8875
house,045955,085,563,126,0.1125
house,045963,084,1936,488,1.0
house,045971,078,2634,579,0.98469388
house,045971,083,52,7,0.01190476
house,045971,084,12,2,0.00340136
house,045997,095,15541,2358,0.95465587
house,045997,096,570,112,0.04534413
house,046003,096,5051,892,1.0
house,046011,095,8637,1925,0.97320526
house,046011,096,191,53,0.02679474
house,046037,090,8604,2050,1.0
house,046037,091,31,0,0.0
house,046045,063,4591,1036,0.99233716
house,046045,071,21,8,0.00766284
house,046060,063,17273,4088,1.0
house,046078,063,1126,212,0.17277914
house,046078,090,5252,1015,0.82722086
house,046094,040,17703,4722,0.91618161
house,046094,046,2024,417,0.08090803
house,046094,047,79,15,0.00291036
house,046102,045,44846,9870,0.64224362
house,046102,047,23433,5498,0.35775638
house,046110,045,60325,14609,0.5361888
house,046110,046,43892,12637,0.4638112
house,046128,040,254,103,0.05301081
house,046128,046,8009,1840,0.94698919
house,046136,046,3838,848,0.9837587
house,046136,047,48,14,0.0162413
house,046144,045,13175,3238,0.8178833
house,046144,047,3060,721,0.1821167
house,046151,040,3821,860,0.18040696
house,046151,047,33496,3907,0.81959304
