irn,district,enrolled_adm,base_cost_enrolled_adm,aggregate_base_cost,base_cost_per_pupil,capacity_per_pupil,state_share_percentage,valuation_per_pupil,local_capacity_percentage,benchmark_ratio,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_aid,trans_reported_sped_cost,trans_special_education,trans_total,funding_base,foundation_calculated,foundation_phase_in,foundation_funding,temp_transitional_aid_guarantee,transportation,formula_transition_supplement,base_funding_supplement,enrollment_growth_supplement,total_formula_funding,performance_supplement,preschool_special_education,special_education_transportation,total_state_support
046920,Miami Trace Local,2330.1542,2360.66,19096574.04,8089.51,5413.31,0.3308236,305249.32,0.021431101275,1.46670942,1134.8908,894.5841,1074.8142,0.461263,301248.69,526026.9,241078.128270000016,2654197.162378055044,9731606.98,8073837.63,-1381419.2,8350187.78,1381419.2,2654197.16,0,62914.16,0,12448718.3,0,186806.89,241078.13,12876603.32
046946,Canal Winchester Local,3634.1368,3634.1368,29751250.79,8186.61,5013.37,0.3876136,219177.73,0.023542993947,1.46670942,3603.0344,1272.7076,3020.4527,0.831133,2748575.36,1811796,830346.10679999995,1426928.060000000056,17104954.17,21001686.44,3247147,20352101.17,0,1426928.06,0,98121.69,0,21877150.93,188975.12,538341.89,830346.11,23434814.04
046953,Hamilton Local,3063.5195,3063.5195,24963222.96,8148.54,2762.2,0.6610187,159542.13,0.019675256625,1.46670942,3041.2892,1558.5661,2670.6084,0.871745,2673521.6,488780.25,323092.88544067496,1772902.870000000112,21215811.65,28631415.52,6179422.7,27395234.35,0,1772902.87,0,82715.03,689291.9,29940144.15,0,341909.65,323092.89,30605146.68
046961,Gahanna-Jefferson City,7985.9656,7985.9656,64860307.06,8121.79,7121.97,0.1231035,297786.9,0.024180095776,1.46670942,2573.7557,2060.6747,2445.4854,0.306223,302089.24,2077143.6,951954.911880000029,2301952.5,10985749.16,10310649.66,-562560.42,10423188.74,562560.42,2301952.5,0,215621.07,0,13503322.73,415270.21,609995.66,951954.91,15480543.52
046979,Groveport Madison Local,6224.782,6224.782,50777274.76,8157.28,4151.87,0.4910229,248789.73,0.01895311035,1.46670942,6140.0076,3448.2796,5467.0756,0.878276,5555353.1,2195372.55,1077978.196081395028,2584182.379999999888,27130063.96,43874503.73,13953141.66,41083205.62,0,2584182.38,0,168069.11,1400575.94,45236033.06,323688.66,833853.94,1077978.2,47471553.85
046995,New Albany-Plain Local,4676.0703,4676.0703,37926365.2,8110.73,8965.45,0.1,314986.52,0.025,1.46670942,745.8383,496.2659,683.4452,0.146158,19232.84,514762.5,235915.653749999998,1592339.530000000028,2011069.89,4673567.13,2218658.95,4229728.84,0,1592339.53,0,126253.9,0,5948322.27,303944.57,367579.53,235915.65,6855762.03
047001,Reynoldsburg City,7056.3387,7128.04,57898447.62,8122.63,3234.87,0.6017458,162859.06,0.02032153695,1.46670942,4859.1576,3685.1111,4565.646,0.647028,2517925.89,2055103.05,1236649.628904690035,3304782.35999999987,35513886.69,58371180.81,19046983.19,54560869.88,0,3304782.36,0,190521.14,0,58056173.38,275197.21,1308681.12,1236649.63,60876701.34
047019,Hilliard City,15618.4993,15618.4993,126510099.54,8100.02,6435.56,0.2054872,273481.86,0.024190193654,1.46670942,6001.0651,3921.7463,5481.2354,0.350945,889305.81,5510191.05,2525320.558214999735,5507933.359999999404,42722462.37,38257742.77,-3720450.84,39002011.53,3720450.84,5507933.36,0,421699.48,0,48652095.21,1015202.46,1158787,2525320.56,53351405.22
047027,Dublin City,15950.019,15950.019,128349081.99,8046.95,8109.97,0.1000006,320314.99,0.025,1.46670942,3578.9728,2486.977,3305.9738,0.207271,187098.82,2689317.75,1232514.324825000018,5593284.299999999814,16090297.98,16482998.77,327237.57,16417535.55,0,5593284.3,0,430650.51,0,22441470.36,933076.11,918356.55,1232514.32,25525417.34
047043,Archbold-Area Local,1114.2826,1138.31,9443690.08,8296.24,6058.59,0.2697187,285984.43,0.022811576098,1.46670942,297.1031,251.025,285.5836,0.256294,24711.82,111141.45,50936.126535000003,341013.969876923074,3432852.31,3241018.51,-159855.11,3272997.2,159855.11,341013.97,90429.26,30085.63,0,3894381.17,57942.69,144977.67,50936.13,4148237.66
