irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050492,Frontier Local,Washington,2022,5215485,399383,1453437,0,258153,7918682,8059320,7584855,4070456,4544921
050492,Frontier Local,Washington,2023,5167825,403402,1618617,0,275409,8159515,8197415,8022370,4544924,4719969
050492,Frontier Local,Washington,2024,5762569,472814,1701576,0,292543,8968850,9027998,8830577,4719969,4917390
050492,Frontier Local,Washington,2025,5818521,811479,1804406,0,296499,9332311,9368711,11038117,4917390,3247984
050500,Warren Local,Washington,2020,12236371,304588,6603357,0,1191665,23346275,23615570,23014045,8142062,8743587
050500,Warren Local,Washington,2021,12527203,281891,6897535,0,1164386,27180218,27202618,26735328,8743587,9210877
050500,Warren Local,Washington,2022,12936249,244897,6942440,0,1053761,23152125,23152125,23151369,9210877,9211633
050500,Warren Local,Washington,2023,12936249,0,7612100,0,1119079,24011887,24011887,23873440,9420128,9558575
050500,Warren Local,Washington,2024,13157435,0,8026269,0,1194846,25334533,25334533,24660849,9558575,10232259
050500,Warren Local,Washington,2025,13943894,0,8184527,0,1213916,26344530,26344530,26290524,10232259,10286265
050518,Wolf Creek Local,Washington,2020,1727197,44453,1603842,0,204607,11975411,12065509,12471287,9753802,9348024
050518,Wolf Creek Local,Washington,2021,1794132,44453,1622225,0,210783,10219983,10315593,9003688,9348024,10659929
050518,Wolf Creek Local,Washington,2022,2164870,210804,1572150,0,214391,9972856,10128089,9080394,10659929,11707624
050518,Wolf Creek Local,Washington,2023,2419622,204582,1836266,0,236397,10275484,10351852,11601503,11707619,10457968
050518,Wolf Creek Local,Washington,2024,2844240,248927,1983381,0,259864,10891117,11138008,10986231,10457968,10609745
050518,Wolf Creek Local,Washington,2025,3101983,279394,1962603,0,263444,11514769,11710606,17129618,10609745,5190733
050534,Chippewa Local,Wayne,2020,4869131,101238,4834688,2159991,553524,13458791,13525803,14117931,5684667,5092539
050534,Chippewa Local,Wayne,2021,5010787,101238,3630901,2103920,563982,14738656,14738656,12730858,5092539,7100337
050534,Chippewa Local,Wayne,2022,5208878,95073,3897199,2397903,584737,14554310,14592432,13442125,7100337,8250644
050534,Chippewa Local,Wayne,2023,5085528,284186,3894840,2584432,600126,15052097,15089447,14163193,8253493,9179747
050534,Chippewa Local,Wayne,2024,5043822,324759,4662612,2517446,695582,15014729,16568280,16699496,9179747,9048531
050534,Chippewa Local,Wayne,2025,5058364,295797,5403776,2723689,792546,19387330,19538029,21524546,9048531,7062015
050542,Dalton Local,Wayne,2020,3005324,13473,3302584,1505108,407710,9202155,9267155,9106526,2531697,2692325
050542,Dalton Local,Wayne,2021,3087444,17019,3541318,1453222,428346,9470089,9470089,9150278,2692325,3012136
050542,Dalton Local,Wayne,2022,3872418,132717,3878888,2320256,452134,10957981,10957981,9545863,3012136,4424254
050542,Dalton Local,Wayne,2023,3764059,251402,3835237,1927736,453235,10769122,10769122,10525048,4423935,4668009
050542,Dalton Local,Wayne,2024,3899611,308089,4430719,1815172,521803,11645591,11645591,10740895,4668009,5572705
050542,Dalton Local,Wayne,2025,3809513,316163,5126337,1914593,594920,12415816,13091234,14401855,5572705,4262085
050559,Green Local,Wayne,2020,5033595,41096,3889977,561681,577791,12237656,13627734,12870692,2656030,3413072
050559,Green Local,Wayne,2021,5141346,57377,4032784,726366,596840,12631976,12800599,11601069,3413072,4612602
050559,Green Local,Wayne,2022,6060324,330691,4322166,876953,614747,12999325,13092338,11288249,4612602,6416691
050559,Green Local,Wayne,2023,6042404,329340,4257357,958611,620504,13497727,13570773,14924913,6402637,5048497
050559,Green Local,Wayne,2024,6108063,443333,4750072,929453,678577,14493161,14518899,13060082,5048497,6507314
