ranking_year,rank,lea_irn,lea_name,building_irn,building_name,building_org_type,performance_index
2024,985,048488,Cloverleaf Local,061432,Cloverleaf Middle School,Public School,92.341
2024,1659,044420,Mount Vernon City,061457,Mount Vernon Middle School,Public School,84.542
2024,1540,044420,Mount Vernon City,061465,Pleasant Street Elementary School,Public School,85.828
2024,61,050047,Nordonia Hills City,061473,Rushwood Elementary School,Public School,107.93
2024,511,050070,Twinsburg City,061481,Geo G Dodge Elementary School,Public School,98.772
2024,754,050674,Eastwood Local,061499,Eastwood Middle School,Public School,95.289
2024,1310,048728,Northmont City,061507,Northwood Elementary School,Public School,88.659
2024,2300,048751,Huber Heights City,061523,Valley Forge Elementary School,Public School,72.97
2024,2189,046979,Groveport Madison Local,061549,Glendening Elementary School,Public School,75.685
2024,1777,046979,Groveport Madison Local,061556,Sedalia Elementary,Public School,83.084
2024,791,046623,Ansonia Local,061572,Ansonia Middle School,Public School,94.783
2024,1893,049056,Northern Local,061598,Sheridan Middle School,Public School,81.264
2024,391,050468,Wayne Local,061614,Waynesville Middle School,Public School,100.752
2024,1064,050591,Triway Local,061622,Triway Middle School,Public School,91.367
2024,1992,044206,Lancaster City,061630,General Sherman Junior High School,Public School,79.774
2024,2260,044206,Lancaster City,061655,Thomas Ewing Junior High School,Public School,73.967
2024,411,045492,Mentor Exempted Village,061663,Orchard Hollow Elementary School,Public School,100.436
2024,1510,045492,Mentor Exempted Village,061671,Shore Middle School,Public School,86.196
2024,1690,046094,Edgewood City School District,061697,Edgewood Primary School,Public School,84.156
2024,1478,046250,Northeastern Local,061705,Kenton Ridge Elementary,Public School,86.572
2024,1582,046250,Northeastern Local,061713,Northeastern Elementary School,Public School,85.438
2024,1215,049833,Canton Local,061804,Faircrest Memorial Elementary School,Public School,89.69
2024,349,049866,Lake Local,061812,Lake Middle / High School,Public School,101.524
2024,1848,049882,Marlington Local,061820,Marlington Middle School,Public School,81.935
2024,571,049924,Perry Local,061838,T C Knapp Elementary School,Public School,97.848
2024,802,049684,Seneca East Local,061846,Seneca East Middle School,Public School,94.641
2024,1470,047894,Riverside Local,061895,Henry F Lamuth Middle School,Public School,86.634
2024,238,048124,Avon Lake City,061911,Troy Intermediate Elementary School,Public School,103.249
2024,1921,045872,Jefferson Area Local,061929,Jefferson Area Junior High School,Public School,80.847
2024,171,047340,Forest Hills Local,061937,Sherwood Elementary School,Public School,105.1
2024,955,048074,Benjamin Logan Local,061952,Benjamin Logan Middle School,Public School,92.678
2024,687,045807,Spencerville Local,061960,Spencerville Middle School,Public School,96.199
2024,1186,050161,Howland Local,061986,Howland Glen Elementary School,Public School,89.932
2024,1008,050161,Howland Local,061994,Howland Springs Elementary School,Public School,92
2024,1674,049221,Southeast Local,062018,Southeast Primary Elementary School,Public School,84.309
2024,2443,044800,South-Western City,062182,Pleasant View Middle School,Public School,67.89
2024,2285,044800,South-Western City,062190,Beulah Park Middle School,Public School,73.327
2024,2401,044800,South-Western City,062208,Finland Middle School,Public School,69.623
2024,2601,044800,South-Western City,062216,Norton Middle School,Public School,60.687
