fiscal_year,irn,district,county,enrolled_adm,base_cost_enrolled_adm,enrolment_is_provisional,base_cost_per_pupil,aggregate_base_cost,property_valuation_annual,property_valuation_three_year_average,property_valuation_used,state_share_percentage,state_share_of_base_cost,core_foundation_funding,guarantee,formula_transition_supplement,base_funding_supplement,total_state_support
2025,051417,Pioneer Career & Technology,Richland,1417.901168,1389.565624,no,9446.49,13126517.48,3789120720,3371163473.33,3371163473.33,0.8715896,11440935.74,16267965.9,0,0,0,16267965.9
2025,051433,Pickaway-Ross County JVSD,Ross,1143.884923,1107.926903,no,9590.37,10625425.76,3259880380,2925695900,2925695900,0.8623257,9162577.81,14080207.47,0,0,0,14080207.47
2025,051458,Vanguard-Sentinel Career & Technology Centers,Sandusky,985.330567,975.686396,no,9744.28,9507358.72,4505529210,4173113763.33,4173113763.33,0.7805324,7420801.84,10796807.58,0,0,0,10796807.58
2025,051474,Warren County Vocational School,Warren,1286.537547,1266.374787,no,9505.84,12037950.58,6728574660,6506241443.33,6506241443.33,0.7297612,8784829.86,11767885.39,0,0,0,11767885.39
2025,051490,Scioto County Joint Vocational School,Scioto,667.694955,665.989127,no,10186.78,6784282.64,1401142260,1336804430,1336804430,0.9014778,6115880.42,8975252.62,0,0,0,8975252.62
2025,051532,Springfield-Clark County,Clark,836.886286,816.659067,no,9778.44,7985649.29,3208435080,3013340796.67,3013340796.67,0.8113278,6478978.89,8821578.56,0,0,0,8821578.56
2025,051607,Tri-County Career Center,Athens,611.143101,582.986638,no,10508.74,6126453.78,3073089160,2821159650,2821159650,0.7697559,4715873.95,7039726.77,0,0,0,7039726.77
2025,051631,Trumbull Career & Tech Ctr,Trumbull,1030.287478,1007.999932,no,9653.62,9730847.32,4839919450,4102999546.67,4102999546.67,0.7891756,7679347.55,11357874.22,0,0,0,11357874.22
2025,051656,Buckeye,Tuscarawas,1006.351044,941.132017,no,9511.8,8951859.42,4851008740,4526383613.33,4526383613.33,0.7471819,6688667.61,10121961.81,0,0,0,10121961.81
2025,051672,Vantage Career Center,Van Wert,558.650409,520.791408,no,10774.14,5611077.04,2441401920,2075637446.67,2075637446.67,0.8150411,4573258.32,5927960.88,0,0,0,5927960.88
2025,051698,Washington County Career Center District,Washington,478.73252,513.823073,no,10543.64,5417567.89,1976493920,1897135930,1897135930,0.8249089,4468999.92,5654491.16,0,0,0,5654491.16
2025,051714,Wayne County JVSD,Wayne,757.259105,732.600403,no,9887.07,7243274.52,4201145210,3633413636.67,3633413636.67,0.7491871,5426567.7,7639279.68,0,0,0,7639279.68
2025,062026,Stark County Area,Stark,774.04983,783.793335,no,9590.36,7516861.36,2155884940,2096855136.67,2096855136.67,0.8605232,6468433.79,8397024.53,0,0,0,8397024.53
2025,062042,Ashland County-West Holmes Joint Vocational School,Ashland,511.184157,519.409394,no,10547.6,5478524.86,2441307120,2160829096.67,2160829096.67,0.802791,4398110.31,5257712.76,0,0,0,5257712.76
2025,062067,Gallia-Jackson-Vinton,Gallia,760.415443,726.016773,no,10041.17,7290057.47,2503078340,2249222863.33,2249222863.33,0.8457335,6165446.04,9808569.66,0,0,0,9808569.66
2025,062109,Medina County Joint Vocational School District,Medina,1212.221581,1152.958758,no,9422.17,10863377.59,6950239470,6433256653.33,6433256653.33,0.7039016,7646749.26,10254562.27,0,0,0,10254562.27
2025,062125,Upper Valley Career Center,Miami,1513.364913,1425.849012,no,9426.45,13440698.3,3574068180,3159072683.33,3159072683.33,0.8824811,11861161.96,16211156.65,0,0,0,16211156.65
2025,062802,U S Grant,Clermont,520.633651,467.794181,no,10990.36,5141225.46,1091957250,981668770,981668770,0.9045297,4650391.07,5948996.16,0,0,0,5948996.16
2025,063495,Portage Lakes,Summit,326.688391,335.72,no,11928.77,4004728.34,2639913290,2251680926.67,2251680926.67,0.7188722,2878887.88,3860669.38,0,0,0,3860669.38
2025,063511,Tolles Career & Technical Center,Madison,952.837214,915.074836,no,9696.88,8873371.26,12407372750,10525758860,10525758860,0.4068907,3610491.83,4636780.79,0,0,0,4636780.79
2025,065227,Coshocton County,Coshocton,277.13355,249.837742,no,13374.47,3341448.52,829484289,822329226.67,822329226.67,0.8769502,2930283.91,3764857.73,0,0,0,3764857.73
2025,065268,Tri-Rivers,Marion,659.830875,605.239932,no,10133.57,6133239.3,2855241820,2524151523.33,2524151523.33,0.7942236,4871163.54,7057276.73,0,0,0,7057276.73
2026,050773,Apollo,Allen,1089.766767,1043.832106,no,9612.65,10033988.81,3589859600,3161691430,3161691430,0.8424514,8825138.83,12388843.47,0,0,29423.7,12418267.17
2026,050799,Southern Hills,Brown,629.224732,622.40056,no,10311.43,6417842.67,1568670530,1276474083.33,1276474083.33,0.9005531,5842974.73,8161056.53,0,0,16989.07,8178045.6
2026,050815,Ashtabula County Technical and Career Center,Ashtabula,715.41174,697.98,no,9962.72,6953781.15,2671378550,2459168193.33,2459168193.33,0.8231778,5867156.02,8899406.03,0,0,19316.12,8918722.15
2026,050856,Belmont-Harrison,Belmont,568.833148,521.781667,no,10870.1,5671820.61,3495350530,3198680256.67,3198680256.67,0.7180201,4439714.44,6680483.66,0,0,15358.5,6695842.16
2026,050880,Butler Technology & Career Development Schools,Butler,3947.107892,3887.632316,no,9466.14,36800867.79,15697424910,14329597456.67,14329597456.67,0.8053092,30089473.01,45382958.77,0,0,106571.91,45489530.68
2026,050906,Columbiana County,Columbiana,327.547023,305.47,no,12588.47,3845400.24,1822512570,1837182836.67,1822512570,0.7630268,3146200.52,4550177.54,0,0,8843.77,4559021.31
2026,050922,Cuyahoga Valley Career Center,Cuyahoga,446.734345,428.646987,no,11346.08,4863463.05,9371076530,8390579490,8390579490,0.1373867,696369.72,1265096.43,399052.1,62950.68,12061.83,1739161.04
2026,050948,Polaris,Cuyahoga,755.317507,720.58234,no,10214.64,7360489.47,7500735830,6568858790,6568858790,0.5537758,4272544.45,6555847.43,0,0,20393.57,6576241
2026,050963,Four County Career Center,Henry,990.465564,998.703012,no,9602.64,9590183.44,5165392450,4718332766.67,4718332766.67,0.754002,7171376.54,10725829.19,0,0,26742.57,10752571.76
2026,050989,Delaware Area Career Center,Delaware,930.009202,921.497269,no,9705.23,8943344.21,11532164220,10312405153.33,10312405153.33,0.4234593,3822123.83,6062186.57,0,0,25110.25,6087296.82
2026,051003,Eastland-Fairfield Career & Technical Schools,Franklin,1712.335046,1612.78385,no,9305.86,15008344.29,14483541070,13415729363.33,13415729363.33,0.553058,8812841.08,12250882.36,0,0,46233.05,12297115.41
2026,051029,EHOVE Career Center,Erie,855.87881,873.427191,no,9775.56,8538242.36,5439514940,4695528670,4695528670,0.7250296,6066101.28,9431832.93,0,0,23108.73,9454941.66
2026,051045,Greene County Vocational School District,Greene,1358.224319,1298.858396,no,9457.89,12284456,6419264600,5895575956.67,5895575956.67,0.7600395,9763418.93,13944503.95,0,0,36672.06,13981176.01
2026,051060,Great Oaks Career Campuses,Hamilton,4768.644532,4563.45963,no,9547.73,43570680.81,30951547900,27954787073.33,27954787073.33,0.6792023,30923897.65,44899260.09,0,0,128753.4,45028013.49
2026,051128,Jefferson County,Jefferson,377.610714,364.018254,no,11655.53,4242827.46,2175562330,2040522673.33,2040522673.33,0.7595322,3342893.38,4836728.52,0,0,10195.49,4846924.01
2026,051144,Knox County JVSD,Knox,683.94947,672.888649,no,10122.62,6811396.62,2570137658,2333168429.67,2333168429.67,0.8287301,5737597.31,8039481.49,0,0,18466.64,8057948.13
2026,051169,Auburn,Lake,443.557898,446.293336,no,11324.57,5054077.94,6911783540,6107062116.67,6107062116.67,0.3958287,1988288.12,3032321.43,0,0,11976.06,3044297.49
2026,051185,Lawrence County,Lawrence,790.24445,730.34,no,10289.75,7515014.85,1842653810,1831030550,1831030550,0.8781749,7140807.04,11194533.66,0,0,21336.6,11215870.26
2026,051201,Career and Technology Educational Centers,Licking,1143.820998,1112.620756,no,9560.47,10637177.24,8333459284,7451064322,7451064322,0.649763,7105461.41,9961258.07,0,0,30883.17,9992141.24
2026,051227,Lorain County JVS,Lorain,1257.227496,1298.84,no,9610.56,12482579.55,10572498830,8968619756.67,8968619756.67,0.6407545,7742018.95,11030497.75,0,0,33945.14,11064442.89
2026,051243,Mahoning Co Career & Tech Ctr,Mahoning,718.083164,750.347099,no,10159.83,7623397.85,5703317720,5234320073.33,5234320073.33,0.6566941,4790979.36,7826338.1,0,0,19388.25,7845726.35
2026,051284,Miami Valley Career Tech,Montgomery,2626.960265,2475.899361,no,9439.76,23371892.08,10587837000,9747852993.33,9747852993.33,0.7914619,19626572.81,28199262.56,0,0,70927.93,28270190.49
2026,051300,Mid-East Career and Technology Centers,Muskingum,1219.948997,1169.730436,no,9534.22,11152472.95,6282043400,5603523568.67,5603523568.67,0.7487765,8709215.75,13375631.01,0,0,32938.62,13408569.63
2026,051334,Ohio Hi-Point Career Center,Logan,1221.792259,1197.857003,no,9466.57,11339599.49,4849867390,4712151103.33,4712151103.33,0.7922257,9163026.59,13186049.17,0,0,32988.39,13219037.56
2026,051359,Penta Career Center - District,Wood,2320.365871,2193.062049,no,9537.7,20916761.01,9685022340,8679602106.67,8679602106.67,0.7925202,17539227.75,27779115.56,0,0,62649.88,27841765.44
2026,051375,Pike County Area,Pike,429.812884,441.079423,no,10937.86,4824466.54,758473690,700676286.67,700676286.67,0.9273834,4359845.58,6670790.09,0,0,11604.95,6682395.04
2026,051391,Maplewood Career Center District,Portage,679.439481,696.19219,no,9806.18,6826983.82,4087493010,3418410050,3418410050,0.7496395,4994627.48,7125009.4,0,0,18344.87,7143354.27
2026,051417,Pioneer Career & Technology,Richland,1375.760245,1417.901168,no,9478.21,13439171.01,4273343520,3773897506.67,3773897506.67,0.8595937,11208882.23,16910070.49,0,0,37145.53,16947216.02
2026,051433,Pickaway-Ross County JVSD,Ross,1203.709843,1143.884923,no,9594.72,10975250.28,3306647690,3163515786.67,3163515786.67,0.8558801,9884780.87,15952857.87,0,0,32500.17,15985358.04
2026,051458,Vanguard-Sentinel Career & Technology Centers,Sandusky,1059.216917,985.330567,no,9725.44,9582768.9,5083007060,4548820206.67,4548820206.67,0.7626565,7856391.97,11874075.54,0,0,28598.86,11902674.4
2026,051474,Warren County Vocational School,Warren,1311.631746,1286.537547,no,9518.69,12246146.12,8446290440,7216751943.33,7216751943.33,0.705346,8806256.08,13107307.14,0,0,35414.06,13142721.2
2026,051490,Scioto County Joint Vocational School,Scioto,719.571829,667.694955,no,10146.34,6774658.86,1410033130,1400773323.33,1400773323.33,0.8966169,6546218.31,10273837.06,0,0,19428.44,10293265.5
2026,051532,Springfield-Clark County,Clark,905.292485,836.886286,no,9740.63,8151801.98,3240249420,3212199943.33,3212199943.33,0.8029758,7080736.27,10198957.85,0,0,24442.9,10223400.75
2026,051607,Tri-County Career Center,Athens,592.448611,611.143101,no,10366.41,6335356.99,3120935330,2999965110,2999965110,0.7632363,4687465.5,7546400.78,0,0,15996.11,7562396.89
