leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5304110,,WA,1,563,16922000,4523000,8990000,3409000,2324000,15045000
5304150,,WA,1,57,3568000,356000,2473000,739000,567000,3039000
5304170,,WA,1,1703,28704000,1991000,19432000,7281000,6291000,23017000
5304200,,WA,1,9551,173745000,11729000,125440000,36576000,28712000,145633000
5304230,,WA,1,30730,634054000,37338000,371381000,225335000,188641000,499960000
5304260,,WA,1,2644,44882000,3272000,31911000,9699000,8143000,40338000
5304380,,WA,1,583,10850000,1113000,7011000,2726000,2602000,8780000
5304410,,WA,1,201,6061000,651000,4224000,1186000,982000,5642000
5304470,,WA,1,6294,110850000,15770000,71854000,23226000,21331000,98671000
5304530,,WA,1,249,7086000,787000,4138000,2161000,1904000,6262000
5304560,,WA,1,3062,59733000,4698000,37248000,17787000,15454000,51056000
5304590,,WA,1,222,6294000,557000,3511000,2226000,624000,4015000
5304620,,WA,1,3425,56738000,6312000,38447000,11979000,10797000,52872000
5304650,,WA,1,814,14264000,2467000,10770000,1027000,822000,14403000
5304710,,WA,1,98,3784000,159000,3364000,261000,174000,2798000
5304740,,WA,1,606,12950000,1940000,8597000,2413000,2142000,10916000
5304800,,WA,1,1576,21351000,1945000,18473000,933000,496000,17412000
5304830,,WA,1,471,7692000,1240000,5967000,485000,317000,6440000
5304860,,WA,1,10236,208824000,29151000,132996000,46677000,41021000,185799000
5304920,,WA,1,10141,164810000,14534000,119217000,31059000,27002000,150395000
5304950,,WA,1,1871,31059000,5716000,21758000,3585000,2999000,27790000
5304980,,WA,1,4065,84236000,5190000,47406000,31640000,26262000,70859000
5305010,,WA,1,1775,31289000,4217000,20043000,7029000,6089000,27778000
5305020,,WA,1,745,14584000,2449000,8502000,3633000,3174000,12548000
5305040,,WA,1,54,2389000,224000,2084000,81000,0,2206000
5305130,,WA,1,6041,104668000,9248000,71388000,24032000,22014000,97952000
5305160,,WA,1,1389,23599000,3066000,16439000,4094000,3319000,21794000
5305190,,WA,1,398,7925000,1207000,5407000,1311000,778000,7160000
5305220,,WA,1,8578,140459000,14643000,107851000,17965000,13546000,134166000
5305250,,WA,1,576,10188000,1058000,7559000,1571000,1145000,8883000
5305310,,WA,1,1694,36501000,7607000,21842000,7052000,6424000,33680000
5305370,,WA,1,3271,59032000,6472000,42074000,10486000,9934000,49451000
5305400,,WA,1,6661,138407000,18984000,91987000,27436000,25119000,125759000
