building_irn,building_name,district_irn,district_name,county,enrollment,chronic_absenteeism,achievement_star_rating,performance_index_2425,performance_index_2324,performance_index_2223
067926,Bloom-Carroll Middle School,046862,Bloom-Carroll Local,Fairfield,562,14.0,4,93.0,89.0,89.2
067934,Groveport Madison Middle School North,046979,Groveport Madison Local,Franklin,472,26.9,2,74.0,73.5,66.6
067942,Pfeiffer Intermediate School,049924,Perry Local,Stark,580,14.3,4,95.2,93.5,95.1
067959,Westerville-North High School,045047,Westerville City,Delaware,1510,28.6,3,85.8,87.3,85.7
067975,Jackson Memorial Middle School,049858,Jackson Local,Stark,1317,12.5,4,98.2,96.1,94.8
067991,Fairfield Union Rushville Middle School,046870,Fairfield Union Local,Fairfield,604,18.8,3,87.0,87.4,88.7
068080,Bethel Middle School,048611,Bethel Local,Miami,515,17.7,3,85.4,86.5,85.2
068221,Kenneth W Clement,043786,Cleveland Municipal,Cuyahoga,144,30.9,2,59.3,58.4,60.6
068239,Fort Hayes Arts and Academic HS,043802,Columbus City Schools District,Franklin,723,61.5,2,65.9,57.6,56.2
068379,W O Cline Elementary School,043737,Centerville City,Montgomery,436,14.1,4,96.4,96.8,97.3
068452,Liberty Union Middle School,046888,Liberty Union-Thurston Local,Fairfield,382,11.6,3,88.9,88.8,87.4
068478,East Broadway Elementary School,044909,Toledo City,Lucas,419,51.9,1,46.8,48.5,48.2
068486,Old West End Academy Elementary School,044909,Toledo City,Lucas,269,12.9,3,80.2,75.0,73.5
068502,Turpin High School,047340,Forest Hills Local,Hamilton,971,17.1,5,101.3,100.0,101.4
068510,Liberty Elementary School,044537,North Ridgeville City,Lorain,626,12.0,,NC,NC,NC
068528,Beechcroft High School,043802,Columbus City Schools District,Franklin,580,63.6,2,60.2,55.3,55.0
068536,Centennial High School,043802,Columbus City Schools District,Franklin,676,52.2,2,72.5,65.7,71.0
068544,Gables Elementary School,043802,Columbus City Schools District,Franklin,451,25.9,2,75.7,72.6,72.0
068551,Sylvania Southview High School,044875,Sylvania Schools,Lucas,1144,27.7,4,93.6,91.6,91.7
068577,Kenton Ridge Middle/High School,046250,Northeastern Local,Clark,1007,29.2,3,81.2,81.4,78.3
068619,School For Creative and Performing Arts,043752,Cincinnati Public Schools,Hamilton,1285,20.5,3,84.4,84.7,82.7
070060,Magsig Middle School,043737,Centerville City,Montgomery,571,15.4,4,92.5,90.0,92.9
070078,Mifflin Alternative Middle School,043802,Columbus City Schools District,Franklin,360,70.0,1,42.0,40.8,44.4
070086,Avalon Elementary School,043802,Columbus City Schools District,Franklin,403,27.4,2,76.6,73.8,67.1
070201,Bexley Middle School,043620,Bexley City,Franklin,581,13.7,4,99.3,100.3,102.0
070235,Spaulding Elementary School,046342,Goshen Local,Clermont,574,16.3,4,94.7,96.5,96.7
070326,Woodford Academy,043752,Cincinnati Public Schools,Hamilton,366,34.2,2,68.2,65.1,57.9
070417,Canfield Village Middle School,048314,Canfield Local,Mahoning,777,14.6,5,102.8,104.1,105.8
070847,Creekside Middle School,046102,Fairfield City,Butler,1046,20.7,3,78.9,78.7,79.6
070920,Adena Elementary School,046110,Lakota Local,Butler,695,11.7,4,90.4,90.0,87.3
071027,Lakeview Middle School,050187,Lakeview Local,Trumbull,367,22.5,4,99.0,96.7,98.1
071068,Dover Middle School,043893,Dover City,Tuscarawas,611,15.0,3,88.9,89.7,90.3
071357,Brunswick Memorial Elementary School,043661,Brunswick City,Medina,366,17.6,5,101.2,96.5,93.3
071381,Windham Junior High School,045666,Windham Exempted Village,Portage,150,26.5,2,70.2,61.6,67.8
071399,Southeast Junior High School,049221,Southeast Local,Portage,330,20.2,3,78.2,79.5,85.5
081786,Lake Elementary School,049866,Lake Local,Stark,1226,9.3,5,102.0,102.1,101.5
081802,Woodland Elementary School,045583,Perrysburg Exempted Village,Wood,579,6.4,4,98.4,99.4,97.3
081810,Coshocton Elementary,043828,Coshocton City,Coshocton,885,21.4,3,80.1,81.1,79.2
082578,Fayetteville-Perry Middle School,046045,Fayetteville-Perry Local,Brown,146,17.9,3,82.9,82.5,86.5
082586,North Baltimore Middle School,050708,North Baltimore Local,Wood,90,20.2,2,77.0,80.0,83.2
083873,Lucas Heritage Middle School,049445,Lucas Local,Richland,66,9.6,3,84.5,80.7,85.7
