irn,district,distribution,counties,amount
043562,BEDFORD BOARD OF EDUCATION,2015-08,1,85460.19
043570,BELLAIRE CITY SCHOOL DISTRICT,2015-08,1,30815.33
043588,BELLEFONTAINE CITY SCHOOL,2015-08,1,64979.54
043596,BELLEVUE CITY SCHOOL DISTRICT,2015-08,4,50880.63
043604,BELPRE CITY SCHOOL DISTRICT,2015-08,1,26073.74
043612,BEREA CITY SCHOOL DISTRICT,2015-08,1,164185.46
043620,BEXLEY CITY SCHOOL DISTRICT,2015-08,1,56434.53
043638,BOWLING GREEN SCHOOL DISTRICT,2015-08,2,76740.05
043646,BRECKSVILLE BROADVIEW HEIGHTS,2015-08,2,101755.15
043653,BROOKLYN LOCAL SCHOOL DISTRICT,2015-08,1,33926.79
043661,BRUNSWICK CITY SCHOOL DISTRICT,2015-08,2,186998.82
043679,BRYAN CITY SCHOOLS,2015-08,1,50036.3
043687,BUCYRUS CITY SCHOOL DISTRICT,2015-08,1,34225.82
043695,CAMBRIDGE CITY BOARD OF,2015-08,2,53624.79
043703,CAMPBELL CITY SCHOOLS,2015-08,1,30648.6
043711,CANTON CITY SCHOOL DISTRICT,2015-08,1,226670.51
043729,CELINA CITY BOARD OF EDU,2015-08,2,65114.13
043737,CENTERVILLE CITY SCHOOL,2015-08,1,201486.81
043745,CHILLICOTHE CITY SCHOOL,2015-08,1,75246.11
043752,CINCINNATI PUBLIC SCHOOLS,2015-08,1,745611.58
043760,CIRCLEVILLE CITY SCHOOL,2015-08,2,53139.95
043778,CLAYMONT CITY BOARD OF EDU,2015-08,3,53780.53
043786,CLEVELAND CITY SCHOOL DISTRICT,2015-08,1,917902.4
043794,CLEVELAND HEIGHTS UNIVERSITY,2015-08,1,137876.44
043802,COLUMBUS PUBLIC SCHOOL,2015-08,1,1240563.16
043810,CONNEAUT AREA CITY SCHOOLS,2015-08,1,43463.47
043828,COSHOCTON CITY SCHOOL DISTRICT,2015-08,1,40219.85
043836,CUYAHOGA FALLS CITY SCHOOLS,2015-08,1,121626.44
043844,DAYTON CITY SCHOOL DISTRICT,2015-08,1,341448.52
043851,DEER PARK COMMUNITY CITY,2015-08,1,33678.72
043869,DEFIANCE CITY SCHOOLS,2015-08,2,65464.73
043877,DELAWARE CITY SCHOOLS,2015-08,1,134286.47
043885,DELPHOS CITY SCHOOL DISTRICT,2015-08,3,28617.01
043893,DOVER CITY SCHOOL DISTRICT,2015-08,1,71201.21
043901,EAST CLEVELAND CITY SCHOOL,2015-08,1,61005.15
043919,EAST LIVERPOOL CITY SCHOOLS,2015-08,1,54333.79
043927,EAST PALESTINE CITY SCHOOL,2015-08,2,29364.74
043935,EATON CITY SCHOOLS,2015-08,2,56421.91
043943,ELYRIA CITY SCHOOL DISTRICT,2015-08,1,157319.98
043950,EUCLID BOARD OF EDUCATION,2015-08,1,131784.75
043968,FAIRBORN CITY SCHOOLS,2015-08,3,106256.82
043976,FAIRVIEW PARK CITY SCHOOL DIST,2015-08,1,45000.28
043984,FINDLAY CITY SCHOOLS,2015-08,1,136786.55
043992,FOSTORIA CITY SCHOOLS,2015-08,3,46601.94
044008,FRANKLIN CITY SCHOOLS,2015-08,3,76936.42
044016,FREMONT CITY BOARD OF EDU,2015-08,3,105640.71
044024,GALION CITY SCHOOL DISTRICT,2015-08,3,48669.03
044032,GALLIPOLIS CITY SCHOOLS,2015-08,1,54582.59
044040,GARFIELD HEIGHTS CITY SCHOOL,2015-08,1,92913.99
044057,GENEVA AREA CITY SCHOOL DIST,2015-08,2,66647.14
044065,GIRARD CITY SCHOOL DISTRICT,2015-08,2,43824.48
044073,GRANDVIEW HEIGHTS CITY SCHOOL,2015-08,1,27170.31
044081,WINTONWOODS CITY SCHOOL,2015-08,2,90390.43
044099,GREENVILLE CITY SCHOOL,2015-08,1,66619.8
044107,HAMILTON BOARD OF EDUCATION,2015-08,1,247610.41
044115,HEATH CITY SCHOOL DISTRICT,2015-08,1,45025
044123,HILLSBORO CITY BOARD OF EDU,2015-08,1,63988.65
044131,HURON CITY SCHOOL DISTRICT,2015-08,1,35938.83
044149,IRONTON CITY BOARD OF,2015-08,1,37057.23
044156,JACKSON CITY SCHOOL DISTRICT,2015-08,5,63064.57
044164,KENT CITY BOARD OF EDUCATION,2015-08,2,78652.96
044172,KENTON CITY SCHOOLS,2015-08,3,50086.7
044180,KETTERING CITY SCHOOL,2015-08,2,186864.94
044198,LAKEWOOD CITY SCHOOL DISTRICT,2015-08,1,131494.67
044206,LANCASTER CITY SCHOOLS,2015-08,1,157367.22
044214,LEBANON CITY SCHOOL DISTRICT,2015-08,2,144933.46
044222,LIMA CITY BOARD OF EDU,2015-08,1,96111.25
044230,LOCKLAND CITY SCHOOLS,2015-08,1,14732.86
044248,LOGAN HOCKING LOCAL SCHOOLS,2015-08,5,99018.77
044255,LONDON CITY SCHOOL DISTRICT,2015-08,2,50950.88
044263,LORAIN CITY SCHOOLS,2015-08,1,163373.66
