irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
043620,BEXLEY CSD,Franklin,2022,0,636367010,636367010,0,0,23848640,0,23848640,660215650,7400240,667615890,27200171,1430248,28630419,28630419,865088,42.7429,59.9719,43.3653,116.9,262861.0454,2539.8054
043620,BEXLEY CSD,Franklin,2023,0,807016010,807016010,0,0,28064640,0,28064640,835080650,7804670,842885320,28206984,1482034,29689018,29689018,912365,34.95,52.81,35.55,116.9,327697.5474,2572.1441
043620,BEXLEY CSD,Franklin,2024,0,808236250,808236250,0,0,27356730,0,27356730,835592980,8376280,843969260,32344806,1582343,33927149,33927149,1021068,40.019,57.8411,40.6025,121.8999,334367.4615,2524.0771
043638,Bowling Green City SD,Wood,2021,44942920,454664300,499607220,0,48217620,162749940,187750,211155310,710762530,80439440,791201970,11439156,6665117,18104273,19552910,4298682,22.8963,31.565,25.4716,53.44,,
043638,BOWLING GREEN CSD,Wood,2022,45015180,458099890,503115070,0,49569570,163424930,210860,213205360,716320430,78992150,795312580,11508756,6731511,18240267,19699069,4221340,22.875,31.5729,25.4638,53.44,270960.7599,2935.1578
043638,BOWLING GREEN CSD,Wood,2023,73805090,573326840,647131930,0,54757350,185840640,239290,240837280,887969210,85599420,973568630,13648011,6842259,20490270,22271797,4553033,21.09,28.41,23.08,53.19,335930.7464,2898.123
043638,BOWLING GREEN CSD,Wood,2024,74259160,576070570,650329730,0,57108490,195044450,268200,252421140,902750870,87031830,989782700,13711876,7175752,20887628,22693129,4628352,21.0845,28.4277,23.1378,53.18,341087.2281,2901.8463
043646,Brecksville-Broadview Height,Cuyahoga,2021,666590,1054500030,1055166620,258120,27974160,184132790,0,212365070,1267531690,32928740,1300460430,35261874,9076950,44338824,46873887,2582601,33.4183,42.7422,34.9804,78.43,,
043646,BRECKSVILLE-BROADVIEW HEIGHTS CSD,Cuyahoga,2022,663550,1062748240,1063411790,266650,27610840,182601290,0,210478780,1273890570,34553380,1308443950,35535393,8996199,44531592,47079374,2710021,33.4164,42.7416,34.9572,78.43,349957.2184,3738.8683
043646,BRECKSVILLE-BROADVIEW HEIGHTS CSD,Cuyahoga,2023,740830,1070593450,1071334280,261160,28379550,174658320,0,203299030,1274633310,35792250,1310425560,35858951,8862211,44721162,47270428,2807186,33.47,43.59,35.09,78.43,355155.8085,3689.7202
043646,BRECKSVILLE-BROADVIEW HEIGHTS CSD,Cuyahoga,2024,1231400,1333483710,1334715110,233670,30808350,182462920,0,213504940,1548220050,39198310,1587418360,37286734,8834001,46120735,49217176,3074323,27.9361,41.3761,29.7895,78.43,435913.0975,3641.5936
043653,Brooklyn City SD,Cuyahoga,2021,0,161897350,161897350,0,40525560,123442100,108220,164075880,325973230,46631410,372604640,7202295,7838840,15041135,15710653,2723274,44.4868,47.7757,46.1422,58.4,,
043653,BROOKLYN CSD,Cuyahoga,2022,0,161793330,161793330,0,39587700,118916900,119700,158624300,320417630,48365790,368783420,6923055,7278809,14201864,14860767,2742340,42.7895,45.8871,44.323,56.7,317011.8633,1163.3111
043653,BROOKLYN CSD,Cuyahoga,2023,0,161856760,161856760,0,41499580,116406870,134550,158041000,319897760,49138620,369036380,6964016,7262647,14226663,14884988,2798444,43.03,45.95,44.47,56.95,323209.9324,1141.7854
043653,BROOKLYN CSD,Cuyahoga,2024,0,215091560,215091560,0,42725950,120739270,145800,163611020,378702580,51925760,430628340,8442343,7567893,16010236,16768770,2957172,39.25,46.2554,42.2765,56.95,366303.0002,1175.6069
043661,Brunswick City SD,Medina,2021,4152620,1064414340,1068566960,2680,41929210,173556070,0,215487960,1284054920,25764050,1309818970,40926114,8253188,49179302,51747412,1751182,38.3,38.3,38.3,67.97,,
043661,BRUNSWICK CSD,Medina,2022,5505000,1346023860,1351528860,2940,46849670,186165640,0,233018250,1584547110,27386460,1611933570,46830474,8074082,54904556,58073650,1761497,34.65,34.65,34.65,64.32,247423.7184,6514.8708
043661,BRUNSWICK CSD,Medina,2023,5891270,1356015280,1361906550,3220,46993760,190956240,0,237953220,1599859770,28989760,1628849530,47190061,8245079,55435140,58635598,1864621,34.65,34.65,34.65,64.32,257256.2054,6331.6239
043661,BRUNSWICK CSD,Medina,2024,6039960,1374442210,1380482170,1790,48081130,199678100,0,247761020,1628243190,31940380,1660183570,47557610,8535367,56092977,59356277,2048017,34.45,34.45,34.45,64.12,268136.4989,6191.5613
043679,Bryan City SD,Williams,2021,22473540,212775900,235249440,0,25268190,38979980,125880,64374050,299623490,6583790,306207280,6187060,2106576,8293636,9222856,323922,26.3,32.724,27.6802,49.1999,,
043679,BRYAN CSD,Williams,2022,22281710,214159880,236441590,0,25423030,39129960,132340,64685330,301126920,6804340,307931260,6218721,2116995,8335716,9269897,334773,26.3013,32.7276,27.6817,49.1999,161485.4288,1906.8672
043679,BRYAN CSD,Williams,2023,22197760,215337240,237535000,0,25529290,39452600,143800,65125690,302660690,6834970,309495660,6247170,2133426,8380596,9167031,336280,26.3,32.76,27.69,49.2,167628.619,1846.3175
043679,BRYAN CSD,Williams,2024,36446210,272959530,309405740,0,26746600,45294350,136600,72177550,381583290,7438460,389021750,7735143,2089294,9824437,10746559,356302,25,28.9466,25.7465,47.9,213469.4075,1822.3771
043687,Bucyrus City SD,Crawford,2021,383340,108637090,109020430,0,4179550,21168570,83090,25431210,134451640,8649450,143101090,3426959,931713,4358672,4720280,437662,31.4341,36.6366,32.4181,50.6,,
043687,BUCYRUS CSD,Crawford,2022,383340,108623830,109007170,0,4178420,21274170,83350,25535940,134543110,9219440,143762550,3456039,941762,4397801,4760446,468808,31.7047,36.8799,32.6869,50.8499,97557.4237,1473.6198
043687,BUCYRUS CSD,Crawford,2023,385450,108781000,109166450,0,4164390,21338970,82870,25586230,134752680,9895170,144647850,3511491,957267,4468758,4774843,507622,32.17,37.41,33.16,51.3,99507.9191,1453.6315
043687,BUCYRUS CSD,Crawford,2024,765660,152777030,153542690,0,5467670,23912060,75160,29454890,182997580,10533800,193531380,4417423,921749,5339172,5732283,509519,28.77,31.2936,29.1762,48.3699,133646.4313,1448.0849
043695,Cambridge City SD,Guernsey,2021,17229660,198143060,215372720,143940,9104780,54816700,252460,64317880,279690600,44189210,323879810,5298168,1582219,6880387,7442232,1279277,24.6,24.6,24.6,28.95,,
043695,CAMBRIDGE CSD,Guernsey,2022,16935920,199168880,216104800,150300,9104780,54942230,226090,64423400,280528200,48508510,329036710,5306907,1581594,6888501,7450923,1401895,24.5571,24.55,24.5555,28.9,153495.9814,2143.6177
043695,CAMBRIDGE CSD,Guernsey,2023,16963970,199384440,216348410,126410,9059090,55220360,220900,64626760,280975170,50538530,331513700,5281216,1577261,6858477,7420426,1452982,24.41,24.41,24.41,28.75,157124.671,2109.8768
043695,CAMBRIDGE CSD,Guernsey,2024,22357250,240101970,262459220,119240,9610840,58067190,234850,68032120,330491340,52459950,382951290,6246529,1619164,7865693,8526675,1476747,23.8,23.8,23.8,28.15,184968.2497,2070.3623
