school_year,census_year,october_year,district_irn,district_name,census_poverty,neglected,delinquent,foster,tanf,total_formula_count,population_5_to_17,title1_share
2023-2024,2021,2022,043687,Bucyrus City School District,340,0,,10,0,350,1614,0.216852540272615
2023-2024,2021,2022,043695,Cambridge City School District,567,0,,37,1,605,2336,0.258989726027397
2023-2024,2021,2022,043703,Campbell City School District,513,0,,2,1,516,1295,0.398455598455599
2023-2024,2021,2022,043711,Canton City School District,3590,0,,62,7,3659,10205,0.358549730524253
2023-2024,2021,2022,043729,Celina City School District,398,0,,13,1,412,3001,0.13728757080973
2023-2024,2021,2022,043737,Centerville City School District,659,0,,16,2,677,10069,0.067236071109346
2023-2024,2021,2022,043745,Chillicothe City School District,944,0,,27,3,974,3529,0.275998866534429
2023-2024,2021,2022,043752,Cincinnati City School District,15964,102,,517,43,16626,49486,0.335973810774765
2023-2024,2021,2022,043760,Circleville City School District,490,0,,6,0,496,2375,0.208842105263158
2023-2024,2021,2022,043778,Claymont City School District,495,0,,27,1,523,2116,0.247164461247637
2023-2024,2021,2022,043786,Cleveland Municipal School District,22254,60,,168,91,22573,56731,0.397895330595265
