fiscal_year,sponsor_irn,sponsor_name,county,sponsor_type,stream,sites,enrollment,enrollment_basis,free_lunch,reduced_lunch,identified,claimable
2009,053363,Notre Dame Jr/Sr,Scioto,Non-Public,single,1,157,adm,8,16,0,24
2009,053488,Roger Bacon,Hamilton,Non-Public,single,1,491,adm,71,56,0,127
2009,053496,Rosemont Center,Franklin,Residential Child Care Institution,single,1,973,adm,937,36,0,973
2009,053520,St Charles Preparatory,Franklin,Non-Public,single,1,634,adm,14,8,0,22
2009,053629,St Ignatius,Cuyahoga,Non-Public,single,1,1456,adm,61,41,0,102
2009,053637,Sts John & Paul-St John Campus,Ashtabula,Non-Public,single,1,112,adm,15,3,0,18
2009,053686,St Joseph Central Catholic,Sandusky,Non-Public,single,1,460,adm,48,29,0,77
2009,053751,Sandusky Central Catholic School,Erie,Non-Public,single,1,567,adm,67,30,0,97
2009,053785,St Peter,Richland,Non-Public,single,1,608,adm,91,50,0,141
2009,053801,St Rita School for the Deaf,Hamilton,Non-Public,single,1,184,adm,38,10,0,48
2009,053827,St Thomas Aquinas,Stark,Non-Public,single,1,343,adm,28,12,0,40
2009,053868,St Wendelin High School,Seneca,Non-Public,single,1,212,adm,37,15,0,52
2009,053900,Summit Country Day,Hamilton,Non-Public,single,1,1087,adm,7,0,0,7
2009,053918,Telshe High Sch,Lake,Non-Public,single,1,85,adm,33,7,0,40
2009,054031,Cincinnati Junior Academy,Hamilton,Non-Public,single,1,83,adm,58,11,0,69
2009,054213,Annunciation Ele Sch,Hamilton,Non-Public,single,1,161,adm,65,17,0,82
2009,054312,St Andrew/St Elizabeth A Seton,Clermont,Non-Public,single,1,301,adm,10,1,0,11
2009,054320,Guardian Angels,Hamilton,Non-Public,single,1,561,adm,3,0,0,3
2009,054346,Holy Angels,Shelby,Non-Public,single,1,245,adm,33,6,0,39
2009,054361,Holy Family,Hamilton,Non-Public,single,1,168,adm,106,26,0,132
2009,054387,Holy Rosary,Auglaize,Non-Public,single,1,129,adm,13,9,0,22
2009,054411,Immaculate Conception,Mercer,Non-Public,single,1,126,adm,10,9,0,19
2009,054437,Immaculate Heart Of Mary,Hamilton,Non-Public,single,1,630,adm,6,2,0,8
2009,054544,Our Lady Of Rosary,Montgomery,Non-Public,single,1,204,adm,108,24,0,132
2009,054569,Our Lady Of Sacred Heart,Hamilton,Non-Public,single,1,169,adm,5,3,0,8
2009,054577,Our Lady Of Victory,Hamilton,Non-Public,single,1,583,adm,6,10,0,16
2009,054585,Our Lady Of Visitation,Hamilton,Non-Public,single,1,857,adm,8,14,0,22
2009,054635,Resurrection Ele Sch,Hamilton,Non-Public,single,1,172,adm,140,19,0,159
2009,054692,St Albert The Great,Montgomery,Non-Public,single,8,3110,adm,718,165,0,883
2009,054718,St Aloysius Gonzaga,Hamilton,Non-Public,single,1,194,adm,10,5,0,15
2009,054726,St Aloysius Educational Center,Hamilton,Non-Public,single,1,90,adm,52,3,0,55
2009,054742,Our Lady of Grace Catholic,Hamilton,Non-Public,single,1,691,adm,77,46,0,123
2009,054775,St Anthony,Montgomery,Non-Public,single,1,201,adm,84,16,0,100
2009,054809,John Paul II Catholic School,Hamilton,Non-Public,single,1,471,adm,24,13,0,37
2009,054817,St Bernadette,Clermont,Non-Public,single,1,145,adm,4,4,0,8
2009,054841,Catholic Central Elementary; Lagonda Campus,Clark,Non-Public,single,2,402,adm,104,31,0,135
