irn,district,enrolled_adm_fy24,econ_disadvantaged_pct_fy24,assessed_valuation_per_pupil_fy23,current_operating_millage_ty23,effective_class1_millage_ty23,operating_expenditure_per_pupil_fy24,state_revenue_per_pupil_fy24,local_revenue_per_pupil_fy24
048017,Licking Valley Local (048017) - Licking County,2032.3261,0.3942,202829.9349,29.9,20,11472.8215,7299.3801,5231.4973
044222,Lima City (044222) - Allen County,3100.8382,1,109735.5521,40.485,29.274,20226.0073,12211.2614,2570.6968
050369,Lincolnview Local (050369) - Van Wert County,819.1586,0.3914,291577.3949,42.6,20,15549.3837,8422.3209,6216.5354
045450,Lisbon Exempted Village (045450) - Columbiana County,688.8348,0.8133,185849.4683,26.1,20,17305.9442,11157.042,3550.8945
050443,Little Miami Local (050443) - Warren County,5161.057,0.2654,282041.8401,41.23,27.89,13345.8984,3569.7548,6913.8901
044230,Lockland Local (044230) - Hamilton County,466.1813,0.9983,195213.2003,47.09,28.923,18227.2148,13426.9939,6334.6472
049080,Logan Elm Local (049080) - Pickaway County,1620.7635,0.4815,349581.614,37.53,21.53,15637.6189,6339.3807,8859.7065
044248,Logan-Hocking Local (044248) - Hocking County,3291.8255,1,321335.7087,26.7,20,17644.8188,7747.3656,6262.8108
044255,London City (044255) - Madison County,1987.366,0.516,265137.2215,37.3,20,13131.5431,5572.6493,6946.0423
044263,Lorain City (044263) - Lorain County,5677.6969,1,125525.0413,60.15,28.6972,24854.2269,12323.5744,3599.7338
050203,Lordstown Local (050203) - Trumbull County,403.0394,0.7673,484640.3766,39.6,28.4,24246.7733,7085.2898,14345.4677
045468,Loudonville-Perrysville Exempted Village (045468) - Ashland County,861.9172,0.4509,335740.9912,35.22,26.02,18409.4412,7707.2838,10915.3404
049874,Louisville City (049874) - Stark County,2674.878,0.4039,182404.7579,56.5,29.4,12880.4175,6318.6649,4906.1921
044271,Loveland City (044271) - Hamilton County,3857.266,0.188,348713.9267,80.0611,31.6294,15419.7413,4249.7503,9232.1846
048330,Lowellville Local (048330) - Mahoning County,445.3876,0.587,146010.1266,55.9,20,15473.8895,9678.8746,4051.1961
049445,Lucas Local (049445) - Richland County,400.5472,0.3817,429354.4742,40.1741,28.1955,18300.4522,8970.0961,13357.1394
047639,Lynchburg-Clay Local (047639) - Highland County,998.1157,0.502,165089.5523,22.7999,20,16264.459,11457.211,3107.9644
048702,Mad River Local (048702) - Montgomery County,3587.297,0.6764,96584.8896,65.3,29.4665,15272.9303,9916.8468,2797.5657
044289,Madeira City (044289) - Hamilton County,1602.3082,0.0948,356596.6012,106.27,37.5325,15893.9065,2882.3366,11863.0941
046128,Madison Local (046128) - Butler County,1402.0257,0.4904,196096.3171,27.3399,24.5,14310.5399,7965.8309,4689.5963
047886,Madison Local (047886) - Lake County,2491.8667,0.3372,186260.2104,55.649,24.6057,12951.9421,6685.9334,4826.307
049452,Madison Local (049452) - Richland County,2511.7343,0.6569,199449.5885,67.9,26.4038,16164.0868,8245.9902,5405.2402
048272,Madison-Plains Local (048272) - Madison County,1081.4104,0.495,431783.2901,45.9499,20,16504.4491,5621.7008,11132.2623
000442,Manchester Local (000442) - Adams County,687.2855,0.9952,150353.3033,26.5,20,16298.3511,15999.1522,3021.1595
050005,Manchester Local (050005) - Summit County,1197.7481,0.3537,287942.9222,68.19,28.7748,15076.9952,5289.911,8706.5964
044297,Mansfield City (044297) - Richland County,2973.5023,0.9991,179247.1802,61.35,35.2,23556.9544,10968.1501,5971.6101
044305,Maple Heights City (044305) - Cuyahoga County,2910.2441,0.9995,118942.5698,66.6,46.5526,21119.776,10683.2383,5163.8189
045831,Mapleton Local (045831) - Ashland County,787.9663,0.464,282840.1915,41.0999,20,14189.9711,7734.621,4753.1172
050211,Maplewood Local (050211) - Trumbull County,611.7922,0.4381,237870.1021,37.5999,25.4,15530.0949,10240.6641,5182.5315
046805,Margaretta Local (046805) - Erie County,958.2271,0.4216,370185.1464,58.75,25.4436,17221.0581,5402.2447,8561.0383
044313,Mariemont City (044313) - Hamilton County,1501.3566,0.1284,355353.6598,109.52,39.444,18407.4737,3496.611,13689.2639
044321,Marietta City (044321) - Washington County,2086.6827,0.6219,325014.2269,45.254,24.1624,14543.7976,5274.6414,8120.554
044339,Marion City (044339) - Marion County,3812.2928,0.9996,119871.1536,35.88,24.3856,18869.9852,11536.5731,2585.8329
048553,Marion Local (048553) - Mercer County,936.9357,0.0298,219199.4821,25.6996,25.7,11187.2174,8099.928,4565.5207
049882,Marlington Local (049882) - Stark County,1858.9986,0.4464,287512.5848,54.9,20.5256,15471.5468,6616.6174,6216.6498
044347,Martins Ferry City (044347) - Belmont County,1273.898,0.6538,205363.6547,35.5,20.0425,17032.0749,9048.018,4837.9624
045476,Marysville Exempted Village (045476) - Union County,5324.7178,0.2641,222959.9653,47.86,20.1094,13642.1864,5437.3629,5725.8517
050450,Mason City (050450) - Warren County,9743.7151,0.1878,276288.7867,84.42,36.3629,14697.7869,4525.1648,9737.4894
044354,Massillon City (044354) - Stark County,3937.7107,1,138717.9113,44.6,36.8,14668.5808,9569.7293,4589.3658
050153,Mathews Local (050153) - Trumbull County,583.4405,0.4257,397443.1086,52.3999,25.5902,19182.2989,6042.4209,9882.1936
044362,Maumee City (044362) - Lucas County,2106.662,0.4263,241321.9015,86.5,42.2785,16964.6977,4519.7279,11756.4561
044370,Mayfield City (044370) - Cuyahoga County,3771.3726,0.3287,410628.2704,85.47,42.3448,21062.9743,2823.8304,16370.2652
048850,Maysville Local (048850) - Muskingum County,1707.4458,0.9313,137436.0788,36.95,20,15685.9881,9107.2865,2395.9788
047456,McComb Local (047456) - Hancock County,601.0792,0.4257,260955.4235,28.321,19.8922,17514.1911,9840.5898,7871.4906
050229,McDonald Local (050229) - Trumbull County,699.8243,0.4256,114113.0532,47.9499,26.05,13105.5515,11389.9677,2520.6103
045484,Mechanicsburg Exempted Village (045484) - Champaign County,818.7488,0.4139,173146.5906,28.2598,21.96,14019.9472,9451.7441,6509.328
044388,Medina City SD (044388) - Medina County,5842.9928,0.2584,328869.3398,86.53,30.0025,16057.471,4138.888,9479.0384
048520,Meigs Local (048520) - Meigs County,1515.1857,1,142170.7541,20,20,18419.247,12095.4271,2585.5873
045492,Mentor Exempted Village (045492) - Lake County,6753.0647,0.36,334033.3224,79.29,32.5223,17058.6383,3592.6557,10752.2684
048629,Miami East Local (048629) - Miami County,1301.0165,0.1347,260815.741,38,19.9976,14344.79,5144.2277,8697.6913
046920,Miami Trace Local (046920) - Fayette County,2344.9659,0.5273,275165.3394,25.3,24.1741,14725.9702,6197.1649,6792.4975
044396,Miamisburg City (044396) - Montgomery County,4544.4479,0.5167,283436.2994,46.7,31.66,15130.8441,4778.3995,7085.4923
044404,Middletown City (044404) - Butler County,5720.6696,1,194129.8912,34.96,33.67,16077.5034,8817.4917,5481.5692
048173,Midview Local (048173) - Lorain County,2502.0943,0.4552,296096.4004,48.22,28.82,14905.1643,6172.6097,7678.1055
045500,Milford Exempted Village (045500) - Clermont County,5678.173,0.2603,280545.9677,74.5,25.1303,14633.52,5155.4044,7171.101
050633,Millcreek-West Unity Local (050633) - Williams County,511.244,0.5324,159008.6226,48.0998,23.2,16780.0493,11568.7606,5642.9271
049361,Miller City-New Cleveland Local (049361) - Putnam County,528.4764,0.1238,172933.048,30.9997,20,13787.4537,10929.2454,4862.9829
045518,Milton-Union Exempted Village (045518) - Miami County,1293.4576,0.5067,206066.4416,62.9,22.394,13750.7985,6908.1278,4861.9372
049890,Minerva Local (049890) - Stark County,1652.3853,0.5106,190224.4966,37.4367,25.1914,14458.7229,8377.0379,4550.8354
049627,Minford Local (049627) - Scioto County,1149.44,0.5498,127559.8063,24.71,20,14096.1961,10832.9256,2229.7664
045948,Minster Local (045948) - Auglaize County,872.5944,0.131,258186.3802,44.1693,20,12262.9058,5498.3395,8128.8511
046672,Mississinawa Valley Local (046672) - Darke County,549.3316,0.6436,233478.7945,26.4,20,19433.793,10870.6869,6243.1304
050039,Mogadore Local (050039) - Summit County,727.4856,0.2376,173080.143,78.8899,29.0556,16892.4093,10567.5998,5680.1452
050740,Mohawk Local (050740) - Wyandot County,731.0703,0.3086,378257.6732,36.9,20,20200.3155,7099.1861,8452.5957
139303,Monroe Local (139303) - Butler County,2670.8994,0.2788,204812.1771,33.46,32.06,12724.1259,5523.5124,5458.925
047712,Monroeville Local (047712) - Huron County,521.9569,0.3869,224714.9463,33.85,26.55,16569.0777,7886.9511,8172.6875
045526,Montpelier Exempted Village (045526) - Williams County,772.3566,0.5419,137736.8538,53.05,20.0446,17807.5794,11259.5181,4856.1222
048777,Morgan Local (048777) - Morgan County,1523.483,0.7404,263377.193,30.5,20.0141,19178.5285,9817.7735,5578.4602
045534,Mount Gilead Exempted Village (045534) - Morrow County,939.4837,0.5185,293563.413,36.4,20,17201.1961,7778.2736,8170.7798
044420,Mount Vernon City (044420) - Knox County,3417.5144,0.4671,283114.7048,30.97,26.97,14169.2679,6695.9357,6670.5743
044412,Mt Healthy City (044412) - Hamilton County,2698.8356,0.9957,195527.3334,66.91,23.8203,22296.1916,11178.4538,4386.0503
044438,Napoleon Area City (044438) - Henry County,1689.6367,0.4229,297351.6844,51.5,20.7715,14947.3795,5403.9792,6341.8789
