school_year,leaid,irn,name,agency_type,status
2008,3901314,009148,ZANESVILLE COMMUNITY SCHOOL,7,1
2008,3901315,009177,VICTORY ACADEMY,7,2
2008,3901316,009174,STAR ACADEMY OF COLUMBUS,7,2
2008,3901317,009163,C.M. GRANT LEADERSHIP ACADEMY,7,3
2008,3901318,009176,UPPER ARLINGTON INTERNATIONAL BACCALAUREATE ACADEMY,7,2
2008,3901319,009147,GREAT LAKES ENVIRONMENTAL ACADEMY,7,1
2008,3901320,009150,LAKESIDE COLLEGE PREPARATORY ACADEMY,7,1
2008,3901321,009121,NEW DIRECTIONS ACADEMY,7,7
2008,3901322,009179,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE SCHOOL,7,1
2008,3901323,009168,PHOENIX MIDDLE SCHOOL,7,2
2008,3901324,009151,JONES INTERNATIONAL BACCALAUREATE MIDDLE SCHOOL,7,2
2008,3901325,009165,GAHANNA ALTERNATIVE COMMUNITY SCHOOL,7,3
2008,3901326,009149,CONSTELLATION SCHOOLS: WESTSIDE COMMUNITY SCHOOL FOR THE ART,7,1
2008,3901327,009178,ROMIG ROAD COMMUNITY SCHOOL,7,1
2008,3901328,009166,HILLCREST SCIENCE ACADEMY,7,2
2008,3901329,009996,MAHONING COUNTY HIGH SCHOOL,7,3
2008,3901330,009997,KIPP:  JOURNEY ACADEMY,7,3
2008,3901331,010005,HORIZON SCIENCE ACADEMY CLEVELAND ELEMENTARY SCHOOL,7,3
2008,3901332,010006,KNIGHT ACADEMY,7,3
2008,3901333,010007,HORIZON SCIENCE ACADEMY DENISON ELEMENTARY SCHOOL,7,3
2008,3901334,010035,CLEVELAND ACADEMY OF MUSIC & FILM PRODUCTION,7,7
