irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
044685,Ravenna City (044685) - Portage County,1843.8561,190,437,671,551
044693,Reading Community City (044693) - Hamilton County,1374.6461,105,303,573,411
050054,Revere Local (050054) - Summit County,2698.8996,190,649,1078,920
047001,Reynoldsburg City (047001) - Franklin County,7193.2410,491,1596,2847,2229
046599,Richmond Heights Local (046599) - Cuyahoga County,790.1674,52,157,286,292
048439,Ridgedale Local (048439) - Marion County,595.9788,47,140,261,143
047506,Ridgemont Local (047506) - Hardin County,457.0230,29,107,201,128
046474,Ridgewood Local (046474) - Coshocton County,1170.2238,90,296,479,304
046078,Ripley-Union-Lewis-Huntington Local (046078) - Brown County,712.5213,59,167,264,231
045591,Rittman Exempted Village (045591) - Wayne County,793.3326,52,192,314,218
048447,River Valley Local (048447) - Marion County,1803.7750,113,442,791,475
046482,River View Local (046482) - Coshocton County,1504.9107,109,332,628,451
047514,Riverdale Local (047514) - Hancock County,945.0731,72,210,372,294
047894,Riverside Local (047894) - Lake County,3971.0914,292,897,1469,1367
048090,Riverside Local (048090) - Logan County,516.0104,38,108,211,189
047944,Rock Hill Local (047944) - Lawrence County,1178.8440,112,318,469,311
044701,Rocky River City (044701) - Cuyahoga County,2462.7863,196,562,963,826
047308,Rolling Hills Local (047308) - Guernsey County,1448.8502,110,351,561,412
049213,Rootstown Local (049213) - Portage County,949.6108,65,213,369,289
046144,Ross Local (046144) - Butler County,2312.6164,155,551,1053,812
045609,Rossford Exempted Village (045609) - Wood County,1522.8125,128,377,608,405
049817,Russia Local (049817) - Shelby County,409.7329,39,100,156,119
044735,Salem City (044735) - Columbiana County,1914.5550,130,443,710,650
044743,Sandusky City (044743) - Erie County,2941.6659,199,624,1133,991
049940,Sandy Valley Local (049940) - Stark County,1247.7488,85,268,457,412
049130,Scioto Valley Local (049130) - Pike County,1178.5454,95,300,461,298
048355,Sebring Local (048355) - Mahoning County,374.0794,40,83,133,121
049684,Seneca East Local (049684) - Seneca County,767.5521,59,160,313,276
046003,Shadyside Local (046003) - Belmont County,651.6947,66,163,237,197
044750,Shaker Heights City (044750) - Cuyahoga County,4349.5318,294,961,1611,1473
045799,Shawnee Local (045799) - Allen County,2231.9281,175,514,898,634
044768,Sheffield-Sheffield Lake City (044768) - Lorain County,1457.6766,94,328,580,455
044776,Shelby City (044776) - Richland County,1761.8929,138,396,725,517
044784,Sidney City (044784) - Shelby County,2728.1650,217,674,1055,898
046607,Solon City (046607) - Cuyahoga County,4405.9436,234,939,1831,1479
047738,South Central Local (047738) - Huron County,699.8833,61,183,268,191
044792,South Euclid-Lyndhurst City (044792) - Cuyahoga County,3074.3672,239,720,1140,1001
047951,South Point Local (047951) - Lawrence County,1296.2786,114,333,508,345
048363,South Range Local (048363) - Mahoning County,1219.5096,92,279,491,348
044800,South-Western City (044800) - Franklin County,21101.4037,1530,4681,8201,6775
049221,Southeast Local (049221) - Portage County,1408.7277,99,330,581,397
